"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"YAL001C",32.7941680600411,2.27895065443351,1.56503895620347,1.45616225423671,0.145347771251357,0.999436863219939,"YAL001C"
"YAL002W",29.5627386420823,-0.0249589189777532,1.85432738150629,-0.0134598233443972,0.989260939023649,0.999436863219939,"YAL002W"
"YAL003W",170.279136811289,0.105405167114698,0.310611573960161,0.339347197436427,0.734348191303106,0.999436863219939,"YAL003W"
"YAL005C",318.381885027403,-0.425730389899469,0.441562761811674,-0.964144685010923,0.334973392268904,0.999436863219939,"YAL005C"
"YAL007C",38.8589505239725,0.296122751881876,0.92944491500877,0.31860172356646,0.750028546290797,0.999436863219939,"YAL007C"
"YAL008W",12.463834873687,2.0732723388623,1.73218615573773,1.19691081238281,0.231341319352945,0.999436863219939,"YAL008W"
"YAL009W",10.7428733750307,0.143955714111795,1.77316677134493,0.0811856597124284,0.93529430375977,0.999436863219939,"YAL009W"
"YAL010C",2.73119413526181,-3.57717902588851,2.74302024834736,-1.30410230403648,0.192198703437505,0.999436863219939,"YAL010C"
"YAL011W",16.2747119439268,1.60818632936431,1.48281936063941,1.08454635274713,0.278122626574848,0.999436863219939,"YAL011W"
"YAL012W",133.375215789224,-0.246253017171437,0.603456894249951,-0.40807060043205,0.683221843379503,0.999436863219939,"YAL012W"
"YAL013W",15.000437672478,0.549888706052146,1.29224915227588,0.425528393718574,0.670451527576802,0.999436863219939,"YAL013W"
"YAL014C",18.6902398308721,0.548533952154903,1.67880092586236,0.326741511578053,0.743863400252661,0.999436863219939,"YAL014C"
"YAL015C",11.1891983660095,0.489463667205992,2.09019613644274,0.234171166366712,0.814852098644684,0.999436863219939,"YAL015C"
"YAL016W",22.3847978264338,-0.0400054063291685,1.34234221359317,-0.0298026881104204,0.97622441491834,0.999436863219939,"YAL016W"
"YAL017W",28.9689661130705,-0.0879138873417354,1.51652438531413,-0.0579706387797551,0.953772016041688,0.999436863219939,"YAL017W"
"YAL019W",20.4709855116681,1.84427006146398,1.3950268744023,1.32203192304389,0.186157520985985,0.999436863219939,"YAL019W"
"YAL020C",32.9047202090773,0.945156760909359,1.62726376609645,0.580825789033971,0.561357872199668,0.999436863219939,"YAL020C"
"YAL021C",38.2281162538413,0.690757721299276,1.10676592474444,0.62412268561555,0.532547016590555,0.999436863219939,"YAL021C"
"YAL022C",19.3211061504788,0.737900157768814,1.71503478052739,0.430253757035705,0.667011061493182,0.999436863219939,"YAL022C"
"YAL023C",56.0908184961926,-0.149469413289078,1.07257785264481,-0.139355304531517,0.88916938947533,0.999436863219939,"YAL023C"
"YAL024C",9.25127334255621,-0.489391771409852,2.00478472412029,-0.244111881700714,0.807144170607154,0.999436863219939,"YAL024C"
"YAL025C",15.6012309506,0.0801002829062114,1.16652428687316,0.0686657653060257,0.945255669187382,0.999436863219939,"YAL025C"
"YAL026C",13.8460945634281,-2.97875330009209,1.9938763666458,-1.49395085368462,0.135188465234976,0.999436863219939,"YAL026C"
"YAL027W",3.55368236070156,0.876993562343286,2.38997549225016,0.366946675891475,0.713658793955116,0.999436863219939,"YAL027W"
"YAL028W",6.69652163595632,-5.31321333789462,2.53447930556723,-2.09637274458057,0.0360491382391033,0.917167301567517,"YAL028W"
"YAL029C",32.7150388312733,0.0622867214473171,1.05820672529234,0.0588606365453874,0.95306311114995,0.999436863219939,"YAL029C"
"YAL030W",67.434944019938,-0.10032198311896,0.851728177936149,-0.117786385043705,0.906236917608025,0.999436863219939,"YAL030W"
"YAL031C",15.8258833605202,1.39015793560009,2.22512085324937,0.624756149118832,0.532131114975076,0.999436863219939,"YAL031C"
"YAL032C",5.66846482972143,0.802476790275822,1.89052749773852,0.424472424355508,0.671221311908601,0.999436863219939,"YAL032C"
"YAL033W",8.13306097817279,-1.16304818120787,1.31847025827176,-0.882119390946589,0.377712247118331,0.999436863219939,"YAL033W"
"YAL034W-A",2.45405460632031,1.34250343097799,1.82643066885779,0.735042098158351,0.462313855889427,0.999436863219939,"YAL034W-A"
"YAL035W",256.882180526639,0.711101077849865,0.474887960908354,1.49740809703764,0.134287102697829,0.999436863219939,"YAL035W"
"YAL036C",32.610407002032,-0.186331684425167,1.18909446741278,-0.156700488928003,0.875480901732669,0.999436863219939,"YAL036C"
"YAL037W",0.980243865204152,-1.45384243825568,5.06665668667002,-0.28694315170014,0.774155848852479,0.999436863219939,"YAL037W"
"YAL038W",354.975613550559,-0.228994241957046,0.392945232226944,-0.582763762418653,0.56005234265048,0.999436863219939,"YAL038W"
"YAL039C",26.3197953149734,-0.380973269777417,1.27319445424097,-0.29922630318441,0.764767381135556,0.999436863219939,"YAL039C"
"YAL040C",82.6659910471913,-0.265125372495611,1.28619307662298,-0.206131861004664,0.836687911671131,0.999436863219939,"YAL040C"
"YAL041W",14.4377215727866,1.29124781212014,1.6279358008748,0.793181040324974,0.42767235219006,0.999436863219939,"YAL041W"
"YAL042W",69.335117641505,0.463772315860778,0.82288489960223,0.563593178201421,0.573031030526278,0.999436863219939,"YAL042W"
